"id_formation","nom","jour_semaine","heure_debut","heure_fin","chemins_images","description"
"formation1","Formation Blender 3D",1,"14:00:00","17:00:00","[""Blender/blender1.png"",""Blender/blender2.jpg"",""Blender/blender3.jpg"",""Blender/blender4.png""]","Découvrez la magie de la création 3D ! Blender est un logiciel gratuit et puissant pour modéliser, animer et rendre vos idées en trois dimensions. Apprenez à créer des objets, personnages et environnements virtuels, à maîtriser l'éclairage et les textures, et à produire des animations époustouflantes. Parfait pour les artistes, designers et passionnés d'animation."
"formation2","Formation Krita - Dessin Digital",2,"18:00:00","21:00:00","[""Krita/krita1.avif"",""Krita/krita2.webp"",""Krita/krita3.png"",""Krita/krita4.webp""]","Libérez votre créativité numérique ! Krita est un studio de peinture numérique open-source conçu pour les artistes. Apprenez les techniques de dessin digital, la manipulation des calques, les pinceaux personnalisés et la colorisation professionnelle. Idéal pour l'illustration, le concept art et la bande dessinée."
"formation3","Formation Kdenlive - Montage Vidéo",3,"19:00:00","22:00:00","[""Kdenlive/kdenlive1.webp"",""Kdenlive/kdenlive2.png"",""Kdenlive/kdenlive3.png"",""Kdenlive/kdenlive4.jpg""]","Devenez monteur vidéo ! Kdenlive est un logiciel de montage vidéo gratuit et complet. Maîtrisez le découpage, les transitions, les effets visuels, le traitement audio et l'export de vidéos de qualité professionnelle. Parfait pour les YouTubeurs, vidéastes amateurs et créateurs de contenu."
"formation5","Formation Ollama - Intelligence Artificielle",0,"09:00:00","12:00:00","[""Ollama/ollama1.png"",""Ollama/ollama2.png"",""Ollama/ollama3.png"",""Ollama/ollama4.png""]","Explorez l'intelligence artificielle locale ! Ollama vous permet d'exécuter des modèles de langage avancés directement sur votre ordinateur. Découvrez comment interagir avec l'IA, personnaliser les modèles et développer des applications intelligentes sans dépendre d'internet."
"formation9","Formation Bitwarden - Gestion des Mots de Passe",4,"13:00:00","16:00:00","[""Bitwarden/bitwarden1.png"",""Bitwarden/birwarden2.png"",""Bitwarden/bitwarden3.png"",""Bitwarden/bitwarden4.png""]","Prenez le contrôle de votre sécurité en ligne ! Bitwarden est un gestionnaire de mots de passe open-source. Apprenez à générer des mots de passe forts, à synchroniser vos identifiants entre appareils et à protéger vos comptes contre les cybermenaces."
"formation10","Formation Notion - Organisation et Productivité",5,"10:00:00","13:00:00","[""Notion/notion1.png"",""Notion/notion2.png"",""Notion/notion3.jpg"",""Notion/notion4.avif""]","Centralisez votre vie numérique ! Notion est un espace de travail tout-en-un pour notes, bases de données, planning et collaboration. Apprenez à créer des pages personnalisées, des systèmes d'organisation et à automatiser vos workflows."
"formation11","Formation SlimeVR - Réalité Virtuelle Corporelle",5,"14:00:00","17:00:00","[""SlimeVR/slimevr1.webp"",""SlimeVR/slimevr2.jpg"",""SlimeVR/slimevr3.webp"",""SlimeVR/slimevr4.jpg""]","Plongez dans la réalité virtuelle corporelle ! SlimeVR est un système de tracking corporel DIY et abordable. Apprenez à configurer des capteurs, à calibrer vos mouvements et à vivre une immersion VR complète pour le gaming et les applications sociales."
"formation12","Formation Inkscape - Dessin Vectoriel",0,"14:00:00","17:00:00","[""Inkscape/inkscape1.png"",""Inkscape/inkscape2.webp"",""Inkscape/inkscape3.png"",""Inkscape/inkscape4.jpg""]","Créez des graphiques vectoriels professionnels ! Inkscape est l'alternative libre à Illustrator. Maîtrisez le dessin vectoriel, la manipulation des chemins, la typographie et la création de logos, icônes et illustrations évolutives."
"formation13","Formation Draw.io - Création de Diagrammes",1,"10:00:00","13:00:00","[""Draw.io/draw1.png"",""Draw.io/draw2.jpg"",""Draw.io/draw3.jpg"",""Draw.io/draw4.png""]","Visualisez vos idées complexes ! Draw.io est un outil de diagramming gratuit et intuitif. Apprenez à créer des organigrammes, plans architecturaux, réseaux informatiques et schémas techniques pour communiquer efficacement."
"formation14","Formation Freemocap - Capture de Mouvement",2,"10:00:00","13:00:00","[""Freemocap/freemocap1.jpg"",""Freemocap/freemocap2.jpg"",""Freemocap/freemocap3.jpg"",""Freemocap/freemocap4.png""]","Capturez le mouvement humain facilement ! Freemocap transforme des caméras standards en système de motion capture. Apprenez à enregistrer des mouvements, analyser la biomécanique et créer des animations réalistes sans équipement coûteux."
"formation15","Formation Ibis Paint - Dessin sur Mobile",6,"13:00:00","16:00:00","[""Ibis_paint/ibispaint1.jpg"",""Ibis_paint/ibispaint2.jpg"",""Ibis_paint/ibispaint3.jpg"",""Ibis_paint/ibispaint4.jpg""]","Peignez sur mobile comme un pro ! Ibis Paint est une application de dessin complète pour smartphones et tablettes. Maîtrisez les outils de dessin digital, les calques, les filtres et créez des œuvres d'art où que vous soyez."
"formation4","Formation DaVinci Resolve - Post-production",4,"16:00:00","19:00:00","[""Davinci_resolve/davinci1.webp"",""Davinci_resolve/davinci2.jpg"",""Davinci_resolve/davinci3.jpg"",""Davinci_resolve/davinci4.jpg""]","Passez au niveau professionnel du montage vidéo ! DaVinci Resolve combine montage, correction colorimétrique, effets visuels et post-production audio dans un seul outil. Apprenez les techniques utilisées par les studios hollywoodiens pour donner vie à vos projets vidéo."
"formation6","Formation Obsidian - Organisation des Connaissances",1,"19:00:00","22:00:00","[""Obsidian/obsidian1.png"",""Obsidian/obsidian2.jpg"",""Obsidian/obsidian3.png"",""Obsidian/obsidian4.png""]","Organisez vos pensées comme jamais ! Obsidian est un carnet de notes puissant qui vous aide à connecter vos idées. Apprenez à créer une base de connaissances personnelle, à établir des liens entre vos notes et à booster votre productivité grâce au zettelkasten."
"formation7","Formation ONLY Office - Bureautique Collaborative",2,"14:00:00","17:00:00","[""Onlyoffice/onlyoffice1.png"",""Onlyoffice/onlyoffice2.png"",""Onlyoffice/onlyoffice3.png"",""Onlyoffice/onlyoffice4.png""]","Maîtrisez la suite bureautique collaborative ! ONLY Office intègre traitement de texte, tableur et présentation dans une interface moderne. Apprenez à créer des documents professionnels, à travailler en équipe en temps réel et à gérer vos projets efficacement."
"formation8","Formation Linux Ubuntu - Système d'Exploitation",3,"10:00:00","13:00:00","[""Ubuntu/ubuntu1.jpg"",""Ubuntu/ubuntu2.webp"",""Ubuntu/ubuntu3.jpeg"",""Ubuntu/ubuntu4.png""]","Découvrez un nouveau monde informatique ! Ubuntu est un système d'exploitation libre, sécurisé et performant. Apprenez les bases de Linux, la gestion des fichiers en terminal, l'installation de logiciels et les avantages d'un système open-source pour votre quotidien numérique."
